ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
   451,  35.05,  10.00, 17,-99,-99,    37697220608.0000, 0.07044, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  67,   5,
   452,  36.95,  10.00, 17,-99,-99,    22254120960.0000, 0.09007, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  68,   5,
   453,  38.84,  10.00, 17,-99,-99,     6836553728.0000, 0.08014, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  69,   5,
   454,  40.74,  10.00, 17,-99,-99,     9250853888.0000, 0.10007, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  70,   5,
   455,  42.63,  10.00, 17,-99,-99,     4781788160.0000, 0.13264, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  71,   5,
   456,  44.53,  10.00, 14,-99,-99,    33340430336.0000, 0.34544, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  72,   5,
   457,  46.42,  10.00, 14,-99,-99,    40374853632.0000, 0.42523, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  73,   5,
   458,  48.32,  10.00, 14,-99,-99,    38949937152.0000, 0.59111, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  74,   5,
   459,  50.21,  10.00, 14,-99,-99,    37482426368.0000, 0.65497, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  75,   5,
   460,  52.11,  10.00, 14,-99,-99,    35973931008.0000, 0.68318, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  76,   5,
   461,  54.00,  10.00, 14,-99,-99,    27187283968.0000, 0.49762, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  77,   5,
   462,  55.89,  10.00, 12,-99,-99,    28943888384.0000, 0.31850, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  78,   5,
   463,  57.79,  10.00, 17,-99,-99,     6270863360.0000, 0.19519, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  79,   5,
   464,  59.68,  10.00,  1,-99,-99,    25568479232.0000, 0.22448, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  80,   5,
   465,  61.58,  10.00,  1,-99,-99,    27875844096.0000, 0.13235, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  81,   5,
   466,  63.47,  10.00,  1,-99,-99,    20049891328.0000, 0.09902, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  82,   5,
   467,  65.37,  10.00, 17,-99,-99,      967148480.0000, 0.05841, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  83,   5,
   474,  78.63,  10.00, 17,-99,-99,      287712256.0000, 0.01551, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  90,   5,
   491, -71.05,  12.50, 15,-99,-99,    19017377792.0000, 0.00129, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  11,   6,
   492, -69.16,  12.50, 17,-99,-99,     4494669824.0000, 0.00238, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   6,
   518, -19.89,  12.50, 17,-99,-99,    18207281152.0000, 0.04403, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  38,   6,
   519, -18.00,  12.50, 16,-99,-99,    40428347392.0000, 0.06932, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  39,   6,
