ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   456,  44.53,  10.00, 0.51330, 0.20739, 0.27931, 0.12584, 0.24662, 0.42734,
   457,  46.42,  10.00, 0.52647, 0.30569, 0.16784, 0.16610, 0.26928, 0.42758,
   458,  48.32,  10.00, 0.37817, 0.23748, 0.38435, 0.15011, 0.27263, 0.44580,
   459,  50.21,  10.00, 0.45542, 0.24190, 0.30268, 0.14326, 0.26372, 0.43611,
   460,  52.11,  10.00, 0.76549, 0.05954, 0.17497, 0.11752, 0.16752, 0.39785,
   461,  54.00,  10.00, 0.61010, 0.10052, 0.28938, 0.11432, 0.20418, 0.42077,
   462,  55.89,  10.00, 0.56003, 0.14131, 0.29866, 0.10832, 0.22409, 0.42540,
   463,  57.79,  10.00, 0.43588, 0.26075, 0.30337, 0.15174, 0.27488, 0.44413,
   464,  59.68,  10.00, 0.52781, 0.20059, 0.27160, 0.12217, 0.24797, 0.44902,
   465,  61.58,  10.00, 0.59928, 0.12575, 0.27497, 0.10439, 0.22155, 0.45026,
   466,  63.47,  10.00, 0.52781, 0.20059, 0.27160, 0.12217, 0.24665, 0.44499,
   467,  65.37,  10.00, 0.52781, 0.20059, 0.27160, 0.12217, 0.24712, 0.44236,
   474,  78.63,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   491, -71.05,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   492, -69.16,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   518, -19.89,  12.50, 0.50869, 0.21271, 0.27859, 0.12803, 0.24662, 0.42522,
   519, -18.00,  12.50, 0.58647, 0.19647, 0.21706, 0.11483, 0.23242, 0.41543,
   520, -16.11,  12.50, 0.58647, 0.19647, 0.21706, 0.11483, 0.23265, 0.41568,
   521, -14.21,  12.50, 0.35471, 0.27931, 0.36598, 0.16518, 0.28407, 0.44535,
   522, -12.32,  12.50, 0.35471, 0.27931, 0.36598, 0.16518, 0.28423, 0.44557,
   523, -10.42,  12.50, 0.35438, 0.37137, 0.27425, 0.19732, 0.30400, 0.44641,
   524,  -8.53,  12.50, 0.43667, 0.40023, 0.16310, 0.20966, 0.29402, 0.43561,
   525,  -6.63,  12.50, 0.43467, 0.39742, 0.16791, 0.20837, 0.29724, 0.43600,
   526,  -4.74,  12.50, 0.61676, 0.24899, 0.13425, 0.13507, 0.24395, 0.41358,
   527,  -2.84,  12.50, 0.37242, 0.44297, 0.18461, 0.22465, 0.31391, 0.44493,
   528,  -0.95,  12.50, 0.46654, 0.35297, 0.18049, 0.18899, 0.28545, 0.43267,
