ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   529,   0.95,  12.50, 0.33840, 0.46675, 0.19484, 0.23158, 0.32290, 0.45091,
   530,   2.84,  12.50, 0.39988, 0.44242, 0.15769, 0.22590, 0.31145, 0.44399,
   531,   4.74,  12.50, 0.39636, 0.46565, 0.13799, 0.23507, 0.31569, 0.44491,
   532,   6.63,  12.50, 0.39636, 0.46565, 0.13799, 0.23507, 0.31485, 0.44358,
   533,   8.53,  12.50, 0.35327, 0.50298, 0.14375, 0.24568, 0.32237, 0.44785,
   534,  10.42,  12.50, 0.61771, 0.16932, 0.21297, 0.10372, 0.22256, 0.41444,
   535,  12.32,  12.50, 0.69525, 0.19751, 0.10724, 0.10635, 0.22071, 0.40364,
   536,  14.21,  12.50, 0.69525, 0.19751, 0.10724, 0.10635, 0.22065, 0.40363,
   537,  16.11,  12.50, 0.76588, 0.06077, 0.17334, 0.11516, 0.16516, 0.39410,
   538,  18.00,  12.50, 0.90000, 0.05000, 0.05000, 0.09686, 0.14686, 0.37720,
   539,  19.89,  12.50, 0.26335, 0.12803, 0.60861, 0.16973, 0.25350, 0.45738,
   540,  21.79,  12.50, 0.26335, 0.12803, 0.60861, 0.16973, 0.25343, 0.45728,
   541,  23.68,  12.50, 0.90000, 0.05000, 0.05000, 0.09690, 0.14690, 0.37726,
   542,  25.58,  12.50, 0.90000, 0.05000, 0.05000, 0.09679, 0.14679, 0.37710,
   543,  27.47,  12.50, 0.90000, 0.05000, 0.05000, 0.09692, 0.14692, 0.37730,
   544,  29.37,  12.50, 0.45249, 0.22571, 0.32179, 0.13817, 0.25879, 0.43389,
   545,  31.26,  12.50, 0.45249, 0.22571, 0.32179, 0.13817, 0.25894, 0.43411,
   546,  33.16,  12.50, 0.41470, 0.19007, 0.39522, 0.13420, 0.25392, 0.43874,
   548,  36.95,  12.50, 0.48885, 0.23683, 0.27432, 0.13838, 0.25782, 0.43074,
   550,  40.74,  12.50, 0.45702, 0.29315, 0.24984, 0.16299, 0.27551, 0.43514,
   551,  42.63,  12.50, 0.34375, 0.22595, 0.43030, 0.15165, 0.27488, 0.44989,
   552,  44.53,  12.50, 0.46994, 0.25504, 0.27502, 0.14683, 0.26498, 0.43335,
   553,  46.42,  12.50, 0.62788, 0.12174, 0.25038, 0.10107, 0.20589, 0.41408,
   554,  48.32,  12.50, 0.39550, 0.22433, 0.38018, 0.14443, 0.26731, 0.44357,
   555,  50.21,  12.50, 0.49898, 0.22495, 0.27606, 0.13316, 0.25395, 0.43056,
   556,  52.11,  12.50, 0.52574, 0.19836, 0.27590, 0.12173, 0.24431, 0.42894,
   557,  54.00,  12.50, 0.39550, 0.22433, 0.38018, 0.14443, 0.26723, 0.44328,
   558,  55.89,  12.50, 0.34752, 0.26052, 0.39196, 0.16017, 0.28437, 0.45163,
   559,  57.79,  12.50, 0.57947, 0.12016, 0.30037, 0.10901, 0.21282, 0.42386,
   560,  59.68,  12.50, 0.60903, 0.12049, 0.27048, 0.10425, 0.21038, 0.42359,
   561,  61.58,  12.50, 0.60903, 0.12049, 0.27048, 0.10425, 0.21183, 0.42605,
   562,  63.47,  12.50, 0.53840, 0.19213, 0.26947, 0.11852, 0.24173, 0.43071,
   563,  65.37,  12.50, 0.53840, 0.19213, 0.26947, 0.11852, 0.24080, 0.42922,
   564,  67.26,  12.50, 0.63963, 0.14976, 0.21061, 0.09781, 0.21449, 0.41412,
   570,  78.63,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   571,  80.53,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   588, -69.16,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   610, -27.47,  15.00, 0.60029, 0.19434, 0.20537, 0.11279, 0.23096, 0.41491,
   611, -25.58,  15.00, 0.76400, 0.07049, 0.16551, 0.11955, 0.16955, 0.39456,
   612, -23.68,  15.00, 0.76400, 0.07049, 0.16551, 0.11966, 0.16966, 0.39473,
   613, -21.79,  15.00, 0.52817, 0.17170, 0.30013, 0.11509, 0.23369, 0.42464,
   614, -19.89,  15.00, 0.52817, 0.17170, 0.30013, 0.11509, 0.23391, 0.42497,
   615, -18.00,  15.00, 0.49208, 0.21555, 0.29238, 0.13070, 0.25095, 0.42927,
   616, -16.11,  15.00, 0.70672, 0.15502, 0.13826, 0.09124, 0.20725, 0.40306,
